,zip,geoid,res_ratio,bus_ratio,oth_ratio,tot_ratio,city,state
9793,59218,99999,1.0,1.0,1.0,1.0,CULBERTSON,MT
9794,59219,99999,1.0,1.0,1.0,1.0,DAGMAR,MT
9795,59221,99999,1.0,1.0,1.0,1.0,FAIRVIEW,MT
9796,59222,99999,1.0,1.0,1.0,1.0,FLAXVILLE,MT
9797,59223,99999,1.0,1.0,1.0,1.0,FORT PECK,MT
9798,59225,99999,1.0,1.0,1.0,1.0,FRAZER,MT
9799,59226,99999,1.0,1.0,1.0,1.0,FROID,MT
9800,59230,99999,1.0,1.0,1.0,1.0,GLASGOW,MT
9801,59231,99999,0.0,0.0,1.0,1.0,SAINT MARIE,MT
9802,59240,99999,1.0,0.0,1.0,1.0,GLENTANA,MT
9803,59241,99999,1.0,1.0,1.0,1.0,HINSDALE,MT
9804,59242,99999,1.0,0.0,1.0,1.0,HOMESTEAD,MT
9805,59243,99999,1.0,1.0,1.0,1.0,LAMBERT,MT
9806,59244,99999,1.0,0.0,1.0,1.0,LARSLAN,MT
9807,59247,99999,1.0,1.0,1.0,1.0,MEDICINE LAKE,MT
9808,59248,99999,1.0,1.0,1.0,1.0,NASHUA,MT
9809,59250,99999,1.0,1.0,1.0,1.0,OPHEIM,MT
9810,59252,99999,1.0,1.0,1.0,1.0,OUTLOOK,MT
9811,59253,99999,1.0,0.0,1.0,1.0,PEERLESS,MT
9812,59254,99999,1.0,1.0,1.0,1.0,PLENTYWOOD,MT
9813,59255,99999,1.0,1.0,1.0,1.0,POPLAR,MT
9814,59256,99999,1.0,1.0,1.0,1.0,RAYMOND,MT
9815,59257,99999,1.0,1.0,1.0,1.0,REDSTONE,MT
9816,59258,99999,1.0,1.0,1.0,1.0,RESERVE,MT
9817,59259,99999,1.0,1.0,1.0,1.0,RICHEY,MT
9818,59260,99999,1.0,1.0,1.0,1.0,RICHLAND,MT
9819,59261,99999,1.0,1.0,1.0,1.0,SACO,MT
9820,59262,99999,1.0,1.0,1.0,1.0,SAVAGE,MT
9821,59263,99999,1.0,1.0,1.0,1.0,SCOBEY,MT
9822,59270,99999,1.0,1.0,1.0,1.0,SIDNEY,MT
9823,59273,99999,1.0,0.0,1.0,1.0,VANDALIA,MT
9824,59274,99999,1.0,1.0,1.0,1.0,VIDA,MT
9825,59275,99999,1.0,1.0,1.0,1.0,WESTBY,MT
9826,59276,99999,1.0,0.0,1.0,1.0,WHITETAIL,MT
9827,59301,99999,1.0,1.0,1.0,1.0,MILES CITY,MT
9828,59311,99999,1.0,1.0,1.0,1.0,ALZADA,MT
9829,59312,99999,1.0,0.0,1.0,1.0,ANGELA,MT
9830,59313,99999,1.0,1.0,1.0,1.0,BAKER,MT
9831,59314,99999,1.0,0.0,1.0,1.0,BIDDLE,MT
9832,59315,99999,1.0,1.0,1.0,1.0,BLOOMFIELD,MT
9833,59316,99999,1.0,0.0,1.0,1.0,BOYES,MT
9834,59317,99999,1.0,1.0,1.0,1.0,BROADUS,MT
9835,59318,99999,1.0,0.0,1.0,1.0,BRUSETT,MT
9836,59319,99999,1.0,1.0,1.0,1.0,CAPITOL,MT
9837,59322,99999,1.0,0.0,1.0,1.0,COHAGEN,MT
9838,59323,99999,1.0,1.0,1.0,1.0,COLSTRIP,MT
9839,59324,99999,1.0,1.0,1.0,1.0,EKALAKA,MT
9840,59326,99999,1.0,1.0,1.0,1.0,FALLON,MT
9841,59327,99999,1.0,1.0,1.0,1.0,FORSYTH,MT
9842,59330,99999,1.0,1.0,1.0,1.0,GLENDIVE,MT
9843,59332,99999,1.0,0.0,1.0,1.0,HAMMOND,MT
9844,59333,99999,1.0,0.0,1.0,1.0,HATHAWAY,MT
9845,59336,99999,1.0,1.0,1.0,1.0,ISMAY,MT
9846,59337,99999,1.0,1.0,1.0,1.0,JORDAN,MT
9847,59338,99999,1.0,1.0,1.0,1.0,KINSEY,MT
9848,59339,99999,1.0,1.0,1.0,1.0,LINDSAY,MT
9849,59341,99999,1.0,0.0,1.0,1.0,MILDRED,MT
9850,59343,99999,1.0,0.0,1.0,1.0,OLIVE,MT
9851,59344,99999,1.0,1.0,1.0,1.0,PLEVNA,MT
9852,59345,99999,1.0,1.0,0.0,1.0,POWDERVILLE,MT
9853,59347,99999,1.0,0.0,1.0,1.0,ROSEBUD,MT
9854,59349,99999,1.0,0.0,1.0,1.0,TERRY,MT
9855,59351,99999,1.0,0.0,1.0,1.0,VOLBORG,MT
9856,59353,99999,1.0,1.0,1.0,1.0,WIBAUX,MT
9857,59354,99999,0.0,0.0,1.0,1.0,WILLARD,MT
9858,59401,24500,1.0,1.0,1.0,1.0,GREAT FALLS,MT
9859,59402,24500,0.0,1.0,0.0,1.0,MALMSTROM AFB,MT
9860,59403,24500,1.0,1.0,1.0,1.0,GREAT FALLS,MT
9861,59025,99999,1.0,1.0,1.0,1.0,DECKER,MT
9862,59026,13740,1.0,0.0,1.0,1.0,EDGAR,MT
9863,59027,99999,1.0,1.0,1.0,1.0,EMIGRANT,MT
9864,59028,13740,1.0,1.0,1.0,1.0,FISHTAIL,MT
9865,59029,13740,1.0,1.0,1.0,1.0,FROMBERG,MT
9866,59030,99999,1.0,1.0,1.0,1.0,GARDINER,MT
9867,59031,99999,1.0,1.0,1.0,1.0,GARRYOWEN,MT
9868,59032,99999,1.0,1.0,1.0,1.0,GRASS RANGE,MT
9869,59033,99999,1.0,0.0,1.0,1.0,GREYCLIFF,MT
9870,59034,99999,1.0,1.0,1.0,1.0,HARDIN,MT
9871,59035,99999,0.0,0.0,1.0,1.0,FORT SMITH,MT
9872,59036,99999,1.0,1.0,1.0,1.0,HARLOWTON,MT
9873,59037,13740,1.0,1.0,1.0,1.0,HUNTLEY,MT
9874,59038,99999,1.0,1.0,1.0,1.0,HYSHAM,MT
9875,59039,99999,1.0,0.0,1.0,1.0,INGOMAR,MT
9876,59041,13740,1.0,1.0,1.0,1.0,JOLIET,MT
9877,59043,99999,1.0,1.0,1.0,1.0,LAME DEER,MT
9878,59044,13740,1.0,1.0,1.0,1.0,LAUREL,MT
9879,59047,99999,1.0,1.0,1.0,1.0,LIVINGSTON,MT
9880,59050,99999,1.0,1.0,1.0,1.0,LODGE GRASS,MT
9881,59052,99999,1.0,1.0,1.0,1.0,MC LEOD,MT
9882,59053,99999,1.0,1.0,1.0,1.0,MARTINSDALE,MT
9883,59054,99999,1.0,1.0,1.0,1.0,MELSTONE,MT
9884,59055,99999,1.0,1.0,1.0,1.0,MELVILLE,MT
9885,59057,13740,1.0,1.0,1.0,1.0,MOLT,MT
9886,59058,99999,1.0,1.0,1.0,1.0,MOSBY,MT
9887,59059,99999,1.0,0.0,1.0,1.0,MUSSELSHELL,MT
9888,59061,13740,1.0,1.0,1.0,1.0,NYE,MT
9889,59062,99999,1.0,0.0,1.0,1.0,OTTER,MT
9890,59063,13740,1.0,1.0,1.0,1.0,PARK CITY,MT
9891,59016,99999,1.0,1.0,1.0,1.0,BUSBY,MT
9892,59018,99999,1.0,1.0,1.0,1.0,CLYDE PARK,MT
9893,59019,13740,1.0,1.0,1.0,1.0,COLUMBUS,MT
9894,59020,99999,1.0,0.0,1.0,1.0,COOKE CITY,MT
9895,59022,99999,1.0,1.0,1.0,1.0,CROW AGENCY,MT
9896,59065,99999,1.0,1.0,1.0,1.0,PRAY,MT
9897,59066,99999,1.0,1.0,1.0,1.0,PRYOR,MT
9898,59067,13740,1.0,1.0,1.0,1.0,RAPELJE,MT
9899,59068,13740,1.0,1.0,1.0,1.0,RED LODGE,MT
9900,59070,13740,1.0,1.0,1.0,1.0,ROBERTS,MT
9901,59071,13740,1.0,1.0,1.0,1.0,ROSCOE,MT
9902,59072,99999,1.0,1.0,1.0,1.0,ROUNDUP,MT
9903,59075,99999,1.0,0.0,1.0,1.0,SAINT XAVIER,MT
9904,59076,99999,1.0,0.0,1.0,1.0,SANDERS,MT
9905,59077,99999,1.0,1.0,1.0,1.0,SAND SPRINGS,MT
9906,59078,99999,1.0,1.0,1.0,1.0,SHAWMUT,MT
9907,59079,13740,1.0,1.0,1.0,1.0,SHEPHERD,MT
9908,59081,99999,1.0,1.0,1.0,1.0,SILVER GATE,MT
9909,59082,99999,1.0,0.0,1.0,1.0,SPRINGDALE,MT
9910,59083,99999,1.0,0.0,1.0,1.0,SUMATRA,MT
9911,59084,99999,1.0,1.0,1.0,1.0,TEIGEN,MT
9912,59085,99999,1.0,1.0,1.0,1.0,TWO DOT,MT
9913,59405,24500,1.0,1.0,1.0,1.0,GREAT FALLS,MT
9914,59406,24500,1.0,1.0,1.0,1.0,GREAT FALLS,MT
9915,59410,25740,1.0,1.0,1.0,1.0,AUGUSTA,MT
9916,59411,99999,1.0,1.0,1.0,1.0,BABB,MT
9917,59412,24500,1.0,1.0,1.0,1.0,BELT,MT
9918,59414,24500,1.0,1.0,1.0,1.0,BLACK EAGLE,MT
9919,59416,99999,1.0,1.0,1.0,1.0,BRADY,MT
9920,59417,99999,1.0,1.0,1.0,1.0,BROWNING,MT
9921,59418,99999,1.0,1.0,1.0,1.0,BUFFALO,MT
9922,59419,99999,1.0,1.0,1.0,1.0,BYNUM,MT
9923,59420,99999,1.0,0.0,1.0,1.0,CARTER,MT
9924,59422,99999,1.0,1.0,1.0,1.0,CHOTEAU,MT
9925,59424,99999,1.0,0.0,1.0,1.0,COFFEE CREEK,MT
9926,59425,99999,1.0,1.0,1.0,1.0,CONRAD,MT
9927,59427,99999,1.0,1.0,1.0,1.0,CUT BANK,MT
9928,59430,99999,1.0,1.0,1.0,1.0,DENTON,MT
9929,59432,99999,1.0,1.0,1.0,1.0,DUPUYER,MT
9930,59433,99999,1.0,1.0,1.0,1.0,DUTTON,MT
9931,59434,99999,1.0,1.0,1.0,1.0,EAST GLACIER PARK,MT
9932,59435,99999,1.0,1.0,1.0,1.0,ETHRIDGE,MT
9933,59444,99999,1.0,1.0,1.0,1.0,GALATA,MT
9934,59446,99999,1.0,1.0,1.0,1.0,GERALDINE,MT
9935,59447,99999,1.0,1.0,1.0,1.0,GEYSER,MT
9936,59448,99999,1.0,1.0,1.0,1.0,HEART BUTTE,MT
9937,59450,99999,1.0,1.0,1.0,1.0,HIGHWOOD,MT
9938,59451,99999,1.0,1.0,1.0,1.0,HILGER,MT
9939,59452,99999,1.0,1.0,1.0,1.0,HOBSON,MT
9940,59453,99999,1.0,1.0,1.0,1.0,JUDITH GAP,MT
9941,59454,99999,1.0,1.0,1.0,1.0,KEVIN,MT
9942,59456,99999,1.0,1.0,1.0,1.0,LEDGER,MT
9943,59457,99999,1.0,1.0,1.0,1.0,LEWISTOWN,MT
9944,59460,99999,1.0,1.0,1.0,1.0,LOMA,MT
9945,59461,99999,1.0,0.0,1.0,1.0,LOTHAIR,MT
9946,59462,99999,1.0,1.0,1.0,1.0,MOCCASIN,MT
